"term_id","name","slug","term_group"
"1","Vista Neotech","uncategorized","0"
"2","simple","simple","0"
"3","grouped","grouped","0"
"4","variable","variable","0"
"5","external","external","0"
"6","exclude-from-search","exclude-from-search","0"
"7","exclude-from-catalog","exclude-from-catalog","0"
"8","featured","featured","0"
"9","outofstock","outofstock","0"
"10","rated-1","rated-1","0"
"11","rated-2","rated-2","0"
"12","rated-3","rated-3","0"
"13","rated-4","rated-4","0"
"14","rated-5","rated-5","0"
"31","Board of Directors","board-of-directors","0"
"35","Employees","employees","0"
"47","Accessories","accessories","0"
"48","Desktops","desktops","0"
"49","Headphones","headphones","0"
"50","Smartphones","smartphones","0"
"51","Tabs","tabs","0"
"52","Watches","watches","0"
"54","Primary Menu","primary-menu","0"
"55","Link","post-format-link","0"
"56","Quote","post-format-quote","0"
"57","Video","post-format-video","0"
"58","Uncategorized","uncategorized","0"
"59","Header","header","0"
"60","Direct Selling","direct-selling-software","0"
"61","Projects","projects","0"
"66","MLM","mlm","0"
"67","mlm","mlm","0"
"68","direct selling","direct-selling","0"
"69","direct selling india","direct-selling-india","0"
"70","network marketing","network-marketing","0"
"71","mlm software","mlm-software","0"
"72","mlm consultant","mlm-consultant","0"
"73","mlm consultant in india","mlm-consultant-in-india","0"
"74","mlm legal advisior","mlm-legal-advisior","0"
"75","mlm software developer","mlm-software-developer","0"
"76","mlm software india","mlm-software-india","0"
"77","top direct selling software developer","top-direct-selling-software-developer","0"
"78","top mlm software developer","top-mlm-software-developer","0"
"79","multi level marketing","multi-level-marketing","0"
"80","MLM Consultancy","mlm-consultancy","0"
"81","Direct Selling Consultant","direct-selling-consultant","0"
"82","Vista Neotech","vista-neotech","0"
"83","how to start mlm business in india","how-to-start-mlm-business-in-india","0"
"84","mlm company","mlm-company","0"
"85","direct selling company","direct-selling-company","0"
"86","start mlm company direct selling","start-mlm-company-direct-selling","0"
"87","Arun Aggarwal","arun-aggarwal","0"
"88","best mlm consultant","best-mlm-consultant","0"
"89","direct selling landmarks","direct-selling-landmarks","0"
"90","Tips for selecting unique products Direct Selling","tips-for-selecting-unique-products-direct-selling","0"
"91","How training is important in direct selling","how-training-is-important-in-direct-selling","0"
"92","best marketing plan","best-marketing-plan","0"
"93","mlm plan","mlm-plan","0"
"94","celebrate","celebrate","0"
"95","Binary MLM","binary-mlm","0"
"96","best mlm software","best-mlm-software","0"
"97","#Multi-level Marketing Software","multi-level-marketing-software","0"
"98","page","page","0"
"99","MLM Software","mlm-software","0"
